Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2026-08-08T18:41:46.942Z,false,2026-08-08T18:41:46.942Z,"000271-ZNID24xxA1-5a4e5453037f66c9",xsd:string,2026-08-08T18:41:46.942Z,,,,
DeviceID.Manufacturer,false,2026-08-08T18:41:46.942Z,false,2026-08-08T18:41:46.942Z,"Zhone",xsd:string,2026-08-08T18:41:46.942Z,,,,
DeviceID.OUI,false,2026-08-08T18:41:46.942Z,false,2026-08-08T18:41:46.942Z,"000271",xsd:string,2026-08-08T18:41:46.942Z,,,,
DeviceID.ProductClass,false,2026-08-08T18:41:46.942Z,false,2026-08-08T18:41:46.942Z,"ZNID24xxA1",xsd:string,2026-08-08T18:41:46.942Z,,,,
DeviceID.SerialNumber,false,2026-08-08T18:41:46.942Z,false,2026-08-08T18:41:46.942Z,"5a4e5453037f66c9",xsd:string,2026-08-08T18:41:46.942Z,,,,
Events.0_BOOTSTRAP,false,2026-08-08T18:41:46.942Z,false,2026-08-08T18:41:46.942Z,"2026-06-09T18:24:16.145Z",xsd:dateTime,2026-08-08T18:41:46.942Z,,,,
Events.1_BOOT,false,2026-08-08T18:41:46.942Z,false,2026-08-08T18:41:46.942Z,"2026-06-09T18:24:16.145Z",xsd:dateTime,2026-08-08T18:41:46.942Z,,,,
Events.Inform,false,2026-08-08T18:41:46.942Z,false,2026-08-08T18:41:46.942Z,"2026-08-08T18:41:46.942Z",xsd:dateTime,2026-08-08T18:41:46.942Z,,,,
Events.Registered,false,2026-08-08T18:41:46.942Z,false,2026-08-08T18:41:46.942Z,"2026-06-09T18:24:16.145Z",xsd:dateTime,2026-08-08T18:41:46.942Z,,,,
InternetGatewayDevice,true,2026-07-21T20:51:35.826Z,false,2026-07-21T20:51:35.826Z,"",,,,,,
InternetGatewayDevice.Capabilities,true,2026-07-21T20:51:35.826Z,false,2026-07-21T20:51:35.826Z,"",,,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic,true,2026-07-21T20:51:35.826Z,false,2026-07-21T20:51:35.826Z,"",,,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.DownloadTransports,false,2026-07-21T20:51:35.826Z,false,2026-07-21T20:51:35.826Z,"HTTP,FTP",xsd:string,2026-07-21T20:51:35.830Z,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.UploadTransports,false,2026-07-21T20:51:35.826Z,false,2026-07-21T20:51:35.826Z,"HTTP,FTP",xsd:string,2026-07-21T20:51:35.830Z,,,,
InternetGatewayDevice.DeviceConfig,true,2026-07-21T20:51:35.826Z,false,2026-07-21T20:51:35.826Z,"",,,,,,
InternetGatewayDevice.DeviceConfig.ConfigFile,false,2026-07-21T20:51:35.826Z,true,2026-07-21T20:51:35.826Z,"",xsd:string,2026-07-21T20:51:35.830Z,,,,
InternetGatewayDevice.DeviceConfig.PersistentData,false,2026-07-21T20:51:35.826Z,true,2026-07-21T20:51:35.826Z,"",xsd:string,2026-07-21T20:51:35.830Z,,,,
InternetGatewayDevice.DeviceInfo,true,2026-07-21T20:51:35.826Z,false,2026-07-21T20:51:35.826Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,false,2026-07-21T20:51:35.826Z,false,2026-07-21T20:51:35.826Z,"BoardId=ZNID24xxA1",xsd:string,2026-07-21T20:51:35.830Z,,,,
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion,false,2026-07-21T20:51:35.826Z,false,2026-07-21T20:51:35.826Z,"S4.1.037",xsd:string,2026-07-21T20:51:35.830Z,,,,
InternetGatewayDevice.DeviceInfo.Description,false,2026-07-21T20:51:35.826Z,false,2026-07-21T20:51:35.826Z,"Zhone Indoor Network Interface Device",xsd:string,2026-07-21T20:51:35.830Z,,,,
